Gender,FirstName,LastName,UserName,Email,Age,City,Device,Coffee Quantity,Order At
Male,Renaldo,Runolfsdottir,renaldo,renaldo.runolfsdottir@gmail.com,59,Fort Worth,Firefox,1,2020-03-04 16:18:44
Male,Leo,Erdman,leo,erdman.leo@yahoo.com,91,Seattle,Firefox,8,2020-03-07 14:25:56
Female,Qiana,Little,qiana,qiana.little@hotmail.com,92,Seattle,Safari,6,2020-03-04 06:30:37
Male,Marlin,Ryan,marlin,ryan.marlin@hotmail.com,58,Indianapolis,Firefox,1,2020-03-09 12:12:52 -0700
Male,Cyril,Stokes,cyril,cyril.stokes@yahoo.com,59,Seattle,Chrome,8,2020-02-15 16:33:51
Female,Wanetta,Bechtelar,wanetta,bechtelar_wanetta@hotmail.com,89,San Antonio,Chrome,1,2020-02-16 11:53:08
Male,Nolan,Reinger,nolan,reinger.nolan@hotmail.com,75,Fort Worth,Safari,1,2020-03-08 14:15:25 -0700
Male,Broderick,Pollich,broderick,pollich.broderick@hotmail.com,43,Houston,Safari,1,2020-03-06 18:18:32
Male,Nicolas,Satterfield,nicolas,nicolas_satterfield@hotmail.com,55,Seattle,Chrome,8,2020-03-05 16:35:31
Male,Jewell,Blick,jewell,blick_jewell@yahoo.com,18,Fort Worth,Chrome,1,2020-02-16 15:24:34"
